ENROLLMENT_BLACK,ENROLLMENT_WHITE_EXCL_504_PER_THOUSAND,REFERRALS_PACIFIC_EXCL_504,REFERRALS_TOTAL_PER_THOUSAND,REFERRALS_DISABLED_PER_THOUSAND,REFERRALS_WHITE_EXCL_504_PER_THOUSAND,REFERRALS_HISPANIC_EXCL_504_PER_THOUSAND,REFERRALS_BLACK_EXCL_504_PER_THOUSAND,REFERRALS_ASIAN_EXCL_504_PER_THOUSAND,REFERRALS_NATIVE_EXCL_504_PER_THOUSAND,REFERRALS_PACIFIC_EXCL_504_PER_THOUSAND,REFERRALS_TWO_OR_MORE_EXCL_504_PER_THOUSAND
1,-0.127834211952161,0.03577922936634382,0.007335174154965063,0.014580863974205441,-0.0020779546612546456,0.0017768394706566071,0.0019331918854890364,3.3726667328005163e-4,-7.612694766806444e-4,-1.4275916449018873e-4,-4.8402291830883037e-4
-0.127834211952161,1,-0.015814900686437334,0.01592755187843975,0.029544965360826264,0.013255641485191434,0.012414709115925227,0.03783755542209185,0.0022748320545354227,0.02692619153740477,0.005155319776382997,0.0242748644997255
0.03577922936634382,-0.015814900686437334,1,0.004877215539320453,0.006060622520551991,0.0032877900685423303,0.0038685725190726905,0.0032753376650420042,0.0032582126051209806,0.0050014871861956715,0.024100296625417864,0.002465936498359932
0.007335174154965063,0.01592755187843975,0.004877215539320453,1,0.654794996886197,0.8670974549966869,0.6225998613754579,0.6050497856271914,0.48152579999152306,0.3276636327424901,0.24451739650445695,0.5519619447734913
0.014580863974205441,0.029544965360826264,0.006060622520551991,0.654794996886197,1,0.6199919321718798,0.4275953179119751,0.48088570889193655,0.33773260721438614,0.29076853523863383,0.21107252559496634,0.45512691604903033
-0.0020779546612546456,0.013255641485191434,0.0032877900685423303,0.8670974549966869,0.6199919321718798,1,0.6220307364929768,0.43654682513214405,0.4643402224323496,0.2466814788855349,0.21497063273100336,0.48049367978921137
0.0017768394706566071,0.012414709115925227,0.0038685725190726905,0.6225998613754579,0.4275953179119751,0.6220307364929768,1,0.33821233756540825,0.38341042418123916,0.1950614618680094,0.16364455672969938,0.3193501042296669
0.0019331918854890364,0.03783755542209185,0.0032753376650420042,0.6050497856271914,0.48088570889193655,0.43654682513214405,0.33821233756540825,1,0.30698642267159915,0.23770655434046453,0.11558123815799401,0.42366249247673504
3.3726667328005163e-4,0.0022748320545354227,0.0032582126051209806,0.48152579999152306,0.33773260721438614,0.4643402224323496,0.38341042418123916,0.30698642267159915,1,0.08985680336452591,0.18891986655403017,0.2550417191377007
-7.612694766806444e-4,0.02692619153740477,0.0050014871861956715,0.3276636327424901,0.29076853523863383,0.2466814788855349,0.1950614618680094,0.23770655434046453,0.08985680336452591,1,0.09538925012768781,0.27484934659161625
-1.4275916449018873e-4,0.005155319776382997,0.024100296625417864,0.24451739650445695,0.21107252559496634,0.21497063273100336,0.16364455672969938,0.11558123815799401,0.18891986655403017,0.09538925012768781,1,0.1341432409810009
-4.8402291830883037e-4,0.0242748644997255,0.002465936498359932,0.5519619447734913,0.45512691604903033,0.48049367978921137,0.3193501042296669,0.42366249247673504,0.2550417191377007,0.27484934659161625,0.1341432409810009,1
